F277W_best_model,F356W_best_model,F444W_best_model,REDSHIFT,SURVEY,SURVEY_ID,best_F277W_RFF,best_F277W_n_mean,best_F277W_n_sd,best_F277W_r_eff_mean,best_F277W_r_eff_sd,best_F356W_RFF,best_F356W_n_mean,best_F356W_n_sd,best_F356W_r_eff_mean,best_F356W_r_eff_sd,best_F444W_RFF,best_F444W_n_mean,best_F444W_n_sd,best_F444W_r_eff_mean,best_F444W_r_eff_sd
single,single,single,4.161901181822647,JADES-DR3-GN-Medium,5783,0.02941299033385177,7.7170000000000005,0.28600000000000003,0.626,0.048,0.00980074848343422,7.361000000000001,0.564,0.804,0.087,-0.06245609832833383,5.811,1.432,3.198,0.693
PS,PS,PS,3.9825178500302503,PRIMER-UDS,19882,-0.1795435324411971,0.662,0.012,6.272,0.107,-0.1793496623075791,0.657,0.006999999999999999,6.837000000000001,0.109,-0.21165306170867984,0.655,0.005,7.04,0.109
single,single,single,3.8987542669432527,PRIMER-UDS,33630,0.020681995975615142,2.6069999999999998,0.32899999999999996,0.727,0.043,-0.005918062473040666,7.0520000000000005,0.7190000000000001,0.614,0.040999999999999995,-0.02650586186092736,4.828,1.756,0.9670000000000001,0.12
single,PS,single,4.367358517680705,PRIMER-UDS,82455,-0.04267252025314993,3.359,0.155,2.463,0.06,-0.05052982234498631,0.674,0.021,4.513999999999999,0.069,-0.07180797127801418,1.774,0.107,2.641,0.045
single,single,single,3.9765743667461333,PRIMER-UDS,38176,-0.040252262409194606,0.654,0.004,5.443,0.053,-0.04533900876291985,0.6559999999999999,0.006,5.204,0.035,-0.06212114957337796,0.7040000000000001,0.027999999999999997,5.381,0.09300000000000001
single,single,single,3.999168563502095,PRIMER-UDS,72188,-0.0018770301474461846,1.115,0.036000000000000004,2.151,0.017,-0.005619617516588368,1.3940000000000001,0.049,2.204,0.013999999999999999,-0.018471719168069962,1.139,0.078,2.2880000000000003,0.032
single,single,single,2.291371498749341,PRIMER-UDS,216681,-0.005447153554808936,2.863,0.076,1.805,0.013999999999999999,-0.002342983635345324,2.6460000000000004,0.055999999999999994,1.469,0.01,-0.006580196040864543,2.173,0.057999999999999996,1.3940000000000001,0.012
single,single,single,0.6266205014438273,JADES-DR3-GN-Medium,14150,-0.04199369490235098,3.372,0.098,3.967,0.07200000000000001,-0.051501086406475736,2.9560000000000004,0.102,3.7,0.065,-0.059792093392915815,4.023,0.35600000000000004,3.299,0.14400000000000002
PS,single,single,1.6754942064311105,JADES-DR3-GN-Medium,12007,-0.08821426260906567,0.6579999999999999,0.006999999999999999,9.415,0.20199999999999999,-0.07659583546390412,0.65,0.001,6.3420000000000005,0.01,-0.10336874212804859,0.65,0.0,6.245,0.011000000000000001
,,,2.31952056680547,JADES-DR3-GN-Medium,1847,,,,,,,,,,,,,,,
PS,single,single,3.1294157422138777,JADES-DR3-GN-Medium,6191,0.06180879640433424,0.672,0.021,5.803999999999999,0.17800000000000002,-0.0034965522387805184,3.241,0.593,4.088,0.324,-0.05326559388212641,4.047,1.0759999999999998,4.434,0.603
single,single,single,6.756534894691736,JADES-DR3-GN-Medium,16639,-0.026247572723857374,0.9009999999999999,0.04,3.7960000000000003,0.062,-0.06127852651012494,0.857,0.03,4.303999999999999,0.062,-0.06592630851721037,0.9159999999999999,0.042,4.856,0.10300000000000001
single,single,single,2.590422920845766,JADES-DR3-GS-East,8231,-0.01582093027424563,1.876,0.005,2.3819999999999997,0.002,-0.013574857615929232,1.8630000000000002,0.005,2.342,0.002,-0.02268544208823863,1.694,0.004,2.227,0.001
single,single,single,4.853279502428629,JADES-DR3-GS-North,5654,0.005124497743864865,1.034,0.013000000000000001,3.466,0.013000000000000001,-0.014283497273764422,1.129,0.019,3.431,0.017,-0.04355373918903872,1.337,0.040999999999999995,3.363,0.028999999999999998
PS,PS,PS,2.6408876770692564,JADES-DR3-GS-East,26730,-0.1051429920954559,0.961,0.006,5.686,0.008,-0.10490272169457372,0.867,0.005,5.598,0.006999999999999999,-0.13662950973477545,0.794,0.006,5.572,0.011000000000000001
single,single,single,2.869049313078626,JADES-DR3-GS-East,43130,-0.08636080199963292,0.65,0.0,5.178999999999999,0.003,-0.1400774503750027,0.65,0.0,5.718999999999999,0.005,-0.10888794948037887,0.65,0.0,5.42,0.006
single,single,single,1.3890036716851748,JADES-DR3-GS-East,15006,0.007093079634490371,0.65,0.0,5.33,0.003,-0.02489300796681634,0.65,0.0,5.468999999999999,0.003,-0.040269019711441194,0.65,0.0,5.336,0.002
PS,single,single,3.606532055444853,JADES-DR3-GS-East,19573,-0.13096599725644456,0.977,0.013999999999999999,7.069,0.040999999999999995,-0.16504336498906863,1.3769999999999998,0.013999999999999999,6.348,0.042,-0.1468831992182407,1.51,0.016,5.002,0.027000000000000003
single,single,single,2.3998848450652894,JADES-DR3-GS-East,24249,-0.03197664156198375,0.65,0.0,5.603,0.006,-0.05314100932532719,0.65,0.0,5.581,0.006,-0.09712632744278343,0.65,0.0,5.632999999999999,0.008
single,single,single,2.2248134462435427,JADES-DR3-GS-East,46496,-0.11213799050032625,3.1039999999999996,0.006999999999999999,6.377000000000001,0.016,-0.09571440640088602,2.873,0.008,5.917000000000001,0.013000000000000001,-0.09521858452218437,4.512,0.013999999999999999,6.768,0.025
single,single,single,2.61422145474087,JADES-DR3-GS-East,40808,-0.21003820268891996,0.6809999999999999,0.002,7.724,0.012,-0.22188653994939767,0.925,0.002,7.957999999999999,0.004,-0.22300470680509255,0.987,0.002,7.529,0.003
PS,PS,single,1.0373333269354443,CEERSP7,5201,-0.07220458143277199,4.806,0.048,6.397,0.054000000000000006,-0.042925460583957756,4.692,0.06,5.871,0.051,-0.011049734327963958,7.999,0.001,1.881,0.006
single,single,single,2.0932855902100935,JADES-DR3-GN-Medium,15034,0.0066477598786066835,0.898,0.008,3.9330000000000003,0.008,-0.007132666295564318,0.795,0.011000000000000001,3.838,0.015,-0.02651454058049291,0.664,0.008,3.638,0.017
single,single,single,2.074904823387161,JADES-DR3-GS-East,12320,-0.006083251493854822,6.97,0.281,2.608,0.073,0.07235134678334255,7.506,0.073,3.608,0.049,0.04900242217489359,7.059,0.331,3.395,0.095
PS,single,single,2.646402447132789,JADES-DR3-GS-South,48965,-0.1189796927962202,0.9420000000000001,0.03,7.556,0.092,-0.05470934960380448,4.998,0.098,4.178,0.079,-0.04662062695821683,4.624,0.129,2.728,0.039
PS,single,single,1.6554154872470153,PRIMER-UDS,211293,-0.11829927368232698,0.6509999999999999,0.001,5.252000000000001,0.005,-0.07658751047367496,0.985,0.002,4.6610000000000005,0.003,-0.07591062595949218,1.064,0.002,4.115,0.003
single,single,single,3.521629437232485,PRIMER-UDS,55521,-0.0752320475447477,3.511,0.142,5.166,0.154,-0.1422458669883529,2.984,0.134,6.124,0.20800000000000002,-0.1418252087316291,2.775,0.159,4.874,0.16699999999999998
PS,PS,single,3.597146766022907,PRIMER-UDS,239709,-0.15770732579148877,1.242,0.021,9.715,0.102,-0.14639728518439457,1.483,0.037000000000000005,7.476,0.08900000000000001,-0.17924905438307373,3.389,0.055,8.812999999999999,0.17800000000000002
PS,PS,PS,2.5813604413785796,JADES-DR3-GS-East,22942,-0.23431972296200593,0.65,0.0,11.087,0.03,-0.19169527958584887,0.65,0.0,7.244,0.004,-0.1754869574801592,0.65,0.0,6.22,0.003
PS,single,single,2.821367842685626,JADES-DR3-GS-East,20371,-0.12103381103363212,1.035,0.006999999999999999,6.52,0.013999999999999999,-0.09309638618956967,1.6640000000000001,0.006,5.919,0.013999999999999999,-0.08912006667996974,1.3769999999999998,0.003,4.939,0.005
single,single,single,2.8723994163885367,JADES-DR3-GS-East,40623,-0.03854089374268118,1.412,0.003,3.4560000000000004,0.002,-0.014906706971791524,1.7619999999999998,0.005,2.978,0.002,-0.035477673016290824,1.7069999999999999,0.005,2.8169999999999997,0.002
PS,PS,single,0.733843467967265,JADES-DR3-GS-East,39860,-0.23867887664786272,0.65,0.0,8.35,0.002,-0.2018342310942236,0.65,0.0,8.408,0.003,-0.18850376640544855,4.6610000000000005,0.003,34.789,0.05
PS,PS,PS,1.316691441733039,JADES-DR3-GS-East,19435,-0.1759853638702113,0.6729999999999999,0.023,12.002,1.034,-0.18020622472177497,0.662,0.011000000000000001,10.544,0.401,-0.18859846973167038,0.65,0.0,9.232000000000001,0.07
PS,single,single,3.7373160885404166,PRIMER-UDS,44883,-0.05987755690020636,1.16,0.04,5.417000000000001,0.063,-0.0490727676078437,1.964,0.033,4.4319999999999995,0.039,-0.05885852944945225,1.662,0.027999999999999997,4.078,0.028999999999999998
PS,single,single,1.8235444719797882,PRIMER-UDS,185028,-0.05759592132010311,1.026,0.057,6.311,0.099,-0.06602564978708685,3.5580000000000003,0.095,4.152,0.067,-0.09047607226217733,3.799,0.131,4.148,0.086
PS,PS,single,3.9060612922760463,PRIMER-UDS,52539,-0.023017497011566548,0.684,0.03,5.362,0.154,-0.03504068877383777,0.6920000000000001,0.035,5.352,0.174,-0.07221666798541217,1.1,0.159,5.155,0.253
PS,PS,PS,2.207504912485949,PRIMER-UDS,160077,-0.10972587334866657,0.659,0.009000000000000001,9.05,0.11599999999999999,-0.11065245774578125,0.657,0.006999999999999999,8.966000000000001,0.09699999999999999,-0.1087294568392059,0.7290000000000001,0.03,8.742,0.171
single,PS,single,4.58262875614737,PRIMER-UDS,148827,0.035956953262019,1.314,0.132,2.275,0.054000000000000006,0.008664424248073146,0.992,0.332,1.986,0.364,0.18206708628999374,0.687,0.028999999999999998,4.837,0.095
single,single,single,2.744771080607825,PRIMER-UDS,76998,0.012995143606886637,2.209,0.068,3.495,0.043,0.01321922790185062,2.5580000000000003,0.08800000000000001,3.665,0.054000000000000006,-0.018675442749387785,2.596,0.14,3.505,0.078
single,single,single,3.467080055047999,JADES-DR3-GN-Deep,27764,0.005575398860287509,1.416,0.096,1.66,0.026000000000000002,-0.018523579963320647,1.035,0.10400000000000001,1.8659999999999999,0.040999999999999995,-0.015728368691550906,0.9490000000000001,0.19,1.839,0.063
single,single,single,3.9512426855720975,PRIMER-UDS,93088,-0.027106815042831644,2.219,0.10800000000000001,2.9,0.038,-0.04463826022227681,2.3409999999999997,0.125,3.148,0.051,-0.05992011494390619,1.996,0.21100000000000002,3.4410000000000003,0.10400000000000001
single,single,single,4.508574934129882,CEERSP6,965,0.062314546886860146,0.774,0.109,0.88,0.038,0.0023875557090444694,1.249,0.40399999999999997,0.601,0.07,-0.014954824143895788,6.055,1.5,1.499,0.39899999999999997
single,PS,PS,4.280136427993674,CEERSP6,5318,-0.08106897801897274,2.27,0.081,4.295,0.09699999999999999,-0.14101918168415353,0.74,0.027999999999999997,7.117999999999999,0.121,-0.14584774956517446,0.797,0.039,6.353,0.125
single,single,single,4.401458869261494,JADES-DR3-GN-Medium,2620,-0.12683421368476752,1.395,0.042,6.175,0.096,-0.1471164809095965,1.505,0.049,5.722,0.08900000000000001,-0.1285884054838586,1.506,0.087,5.306,0.134
PS,PS,PS,4.413353536067188,JADES-DR3-GN-Medium,6964,0.030409396321301137,0.848,0.122,4.1739999999999995,0.142,-0.004151975962505901,0.687,0.035,4.228,0.121,-0.029340524369028318,0.741,0.077,2.904,0.16399999999999998
single,single,single,4.5509611795880796,CEERSP8,6576,0.12244532405003809,1.4409999999999998,0.04,3.608,0.033,0.07319411943506655,1.097,0.043,3.44,0.036000000000000004,-0.007746934035036488,0.73,0.057999999999999996,3.21,0.10300000000000001
single,single,single,3.7721871638886535,CEERSP6,9801,0.05499623774526823,1.409,0.03,2.3890000000000002,0.013999999999999999,0.04146900699464448,1.446,0.032,2.315,0.013999999999999999,0.04038200927874853,1.217,0.037000000000000005,2.6430000000000002,0.021
single,single,single,3.864540011849927,CEERSP5,4234,-0.024283349073167464,1.161,0.026000000000000002,4.368,0.027999999999999997,-0.03790471320037322,1.114,0.022000000000000002,4.388999999999999,0.023,-0.049564578929815445,1.054,0.031,4.176,0.03
single,single,single,2.8104075046926043,PRIMER-COSMOS,140605,-0.19921156849620109,1.1320000000000001,0.015,8.901,0.086,-0.21281099776620893,1.296,0.013999999999999999,8.3,0.069,-0.2168956408363805,1.37,0.016,7.291,0.062
single,single,single,3.417776234625248,PRIMER-COSMOS,130533,-0.0024694693860080586,0.943,0.044000000000000004,6.164,0.095,0.0009558328748457719,0.777,0.05,5.192,0.126,-0.06612777823157215,0.961,0.07400000000000001,5.9270000000000005,0.126
single,single,single,2.9689423935642965,CEERSP6,3405,-0.004121522705445077,1.234,0.021,3.886,0.022000000000000002,-0.02662588938893071,1.527,0.034,3.7539999999999996,0.026000000000000002,-0.02892946710666006,1.5930000000000002,0.05,3.582,0.036000000000000004
single,single,single,3.906543307140338,JADES-DR3-GN-Deep,8507,-0.0983460648731838,1.145,0.006999999999999999,5.527,0.012,-0.14395421220620827,1.17,0.008,5.816,0.013000000000000001,-0.19014436288164321,1.122,0.009000000000000001,5.881,0.016
single,single,single,3.6555860681640757,PRIMER-UDS,11701,-0.005796101607192536,2.971,0.304,1.555,0.052000000000000005,-0.0007655295612949594,2.524,0.275,1.171,0.043,-0.02216191141351576,2.404,0.39,1.04,0.057
single,single,single,4.475962866802982,PRIMER-UDS,27685,-0.072021271242531,1.013,0.085,5.7139999999999995,0.158,-0.12334282359662435,0.7509999999999999,0.059000000000000004,5.8,0.21,-0.11473793249515818,0.75,0.07400000000000001,5.7860000000000005,0.28800000000000003
single,single,single,5.735217699487371,PRIMER-COSMOS,78529,0.025989305960468383,2.9739999999999998,0.37200000000000005,2.301,0.095,-0.0014321670340449514,1.993,0.115,1.8559999999999999,0.027000000000000003,-0.023371048444410025,1.172,0.193,2.187,0.059000000000000004
PS,PS,PS,2.0857151567543664,PRIMER-COSMOS,146132,-0.27306513736145166,0.65,0.0,8.774,0.018000000000000002,-0.2374274260545001,0.65,0.0,8.02,0.011000000000000001,-0.2145997556815221,0.65,0.0,7.688,0.011000000000000001
single,single,single,2.47756724062167,PRIMER-COSMOS,159133,-0.04267373574952523,1.308,0.081,3.735,0.079,-0.07628735665017951,1.54,0.095,3.5589999999999997,0.083,-0.11508052433633552,1.4609999999999999,0.126,4.232,0.156
single,single,single,1.5543687711857292,CEERSP6,8112,-0.13247786971735456,1.794,0.032,5.635,0.052000000000000005,-0.13947102257316044,1.883,0.035,5.462999999999999,0.05,-0.13590390607328187,1.7309999999999999,0.040999999999999995,5.166,0.055
single,single,single,2.5523195458204273,PRIMER-COSMOS,134028,-0.21144461441551884,0.823,0.006,10.94,0.071,-0.25329304019160154,0.9079999999999999,0.003,11.645,0.047,-0.26763134028156765,1.16,0.004,11.773,0.053
single,PS,single,3.2643172022819495,PRIMER-COSMOS,54465,0.01156606218978342,7.872000000000001,0.149,1.2109999999999999,0.057999999999999996,-0.022844661390011248,1.6280000000000001,1.218,5.571000000000001,0.72,-0.03275058977669292,7.532,0.433,1.037,0.07
single,single,single,1.6899929535409859,PRIMER-COSMOS,59715,-0.025940530854909744,7.981,0.017,2.532,0.016,-0.026911297360157637,7.996,0.003,2.353,0.013999999999999999,-0.03740632442735415,7.982,0.017,2.377,0.016
PS,PS,PS,2.4935452558249347,PRIMER-COSMOS,61115,-0.19878502547022905,0.98,0.032,8.442,0.08199999999999999,-0.12943491621414688,1.121,0.036000000000000004,7.28,0.055,-0.07811929003310857,1.3359999999999999,0.054000000000000006,6.71,0.075
PS,PS,single,1.8695384903354322,PRIMER-COSMOS,61573,-0.07984581006660887,0.992,0.038,5.757999999999999,0.062,-0.06412857661331177,0.82,0.027000000000000003,5.587000000000001,0.048,-0.0779510145000647,2.227,0.059000000000000004,3.8089999999999997,0.040999999999999995
PS,single,single,2.5608190079253808,PRIMER-COSMOS,72482,-0.07385130302601443,0.6509999999999999,0.001,9.568,0.054000000000000006,-0.09140353578570949,0.6509999999999999,0.001,9.057,0.025,-0.14966099562641502,0.7509999999999999,0.015,9.02,0.083
PS,PS,PS,2.0997855906559915,PRIMER-COSMOS,73098,-0.15008556726525255,0.775,0.013000000000000001,6.252999999999999,0.051,-0.11272215960366863,0.815,0.012,6.66,0.040999999999999995,-0.1342398106207215,0.831,0.013999999999999999,6.593999999999999,0.042
single,single,single,3.0036351634139775,PRIMER-COSMOS,87115,-0.015758505589775738,1.357,0.027000000000000003,4.16,0.035,-0.027608537975578565,1.224,0.027000000000000003,4.289,0.033,-0.05208719746051209,1.1340000000000001,0.035,4.303999999999999,0.045
single,single,single,2.6291519151638454,PRIMER-COSMOS,86751,0.007105337239697929,4.8919999999999995,0.527,1.6880000000000002,0.057999999999999996,-0.0077397866411375036,2.665,0.19899999999999998,1.776,0.037000000000000005,-0.02305340612380066,2.0780000000000003,0.307,1.713,0.06
PS,PS,PS,2.624471770838358,PRIMER-COSMOS,86583,-0.1341911218130815,0.802,0.018000000000000002,5.598,0.047,-0.08315887756798283,0.835,0.019,5.2989999999999995,0.035,-0.07217279985678406,0.846,0.026000000000000002,5.061,0.043
single,single,single,2.2816011974544668,PRIMER-COSMOS,98300,-0.20328800347405138,0.65,0.0,11.507,0.028999999999999998,-0.3156412979174906,0.65,0.0,10.435,0.01,-0.3152456691962663,0.65,0.0,9.138,0.006999999999999999
PS,PS,single,3.1281717038504366,JADES-DR3-GN-Medium,9766,-0.20218833759290436,0.69,0.02,7.281000000000001,0.087,-0.2159750939235366,0.873,0.02,7.702000000000001,0.063,-0.19941629274495942,1.806,0.031,7.03,0.086
PS,single,PS,1.987494427840387,JADES-DR3-GN-Medium,9246,-0.13379187491853342,1.031,0.02,7.447,0.035,-0.14461787634502293,2.454,0.025,7.64,0.071,-0.15060596139201066,0.983,0.022000000000000002,7.147,0.037000000000000005
PS,PS,PS,2.958913784303765,JADES-DR3-GN-Medium,2803,-0.21961799207451793,1.462,0.047,11.517000000000001,0.201,-0.2317710431832147,1.515,0.053,10.789000000000001,0.171,-0.24133620304901363,1.4969999999999999,0.067,10.299000000000001,0.18600000000000003
single,single,single,3.660888731686705,JADES-DR3-GN-Medium,10835,-0.002874736056648224,0.652,0.002,4.208,0.032,-0.012228966843534387,0.655,0.005,4.141,0.043,-0.06738799718756891,0.657,0.006999999999999999,4.21,0.055999999999999994
PS,PS,single,2.931167728675664,JADES-DR3-GN-Medium,17029,-0.10556999192978907,1.079,0.015,8.749,0.061,-0.11185699331025357,0.9329999999999999,0.013999999999999999,8.34,0.06,-0.12616384149200827,1.828,0.023,8.059,0.08900000000000001
